ID,Group,Statistic
Operating System,Microsoft Windows,116 (75.3)
Operating System,macOS,31 (20.1)
Operating System,Chrome OS,7 (4.5)
Operating System version,Windows 8.1,55 (35.7)
Operating System version,Windows 10,54 (35.1)
Operating System version,Mac OS X 10.9.5,15 (9.7)
Operating System version,Mac OS X 10.11.6,12 (7.8)
Operating System version,Windows 7,7 (4.5)
Operating System version,Chrome OS 10032.86,4 (2.6)
Operating System version,Mac OS X 10.12.3,3 (1.9)
Operating System version,Chrome OS 10032.75,2 (1.3)
Operating System version,Mac OS X 10.12.5,1 (0.7)
Operating System version,Chrome OS 10176.68,1 (0.7)
Browser brand,Chrome,154 (100.0)
Browser version,63,64 (41.6)
Browser version,61,30 (19.5)
Browser version,64,27 (17.5)
Browser version,62,24 (15.6)
Browser version,59,9 (5.8)
GPU type,integrated,139 (90.3)
GPU type,dedicated,15 (9.7)
GPU model,Intel HD Graphics 4600,64 (41.6)
GPU model,Intel HD Graphics 620,23 (14.9)
GPU model,NVIDIA GeForce GTX 780M,15 (9.7)
GPU model,Intel HD Graphics 6000,12 (7.8)
GPU model,Intel HD Graphics 5500,12 (7.8)
GPU model,Intel HD Graphics 520,9 (5.8)
GPU model,Intel HD Graphics,7 (4.5)
GPU model,Intel Haswell Mobile,7 (4.5)
GPU model,Intel Iris Graphics 6100,3 (1.9)
GPU model,Intel HD Graphics 4000,1 (0.7)
GPU model,Intel HD Graphics 530,1 (0.7)
devicePixelRatio,1.00,119 (77.3)
devicePixelRatio,1.25,21 (13.6)
devicePixelRatio,1.50,9 (5.8)
devicePixelRatio,2.00,3 (1.9)
devicePixelRatio,2.50,2 (1.3)
Display resolution,1920x1080,55 (35.7)
Display resolution,1366x768,28 (18.2)
Display resolution,1536x864,23 (14.9)
Display resolution,1440x900,19 (12.3)
Display resolution,2560x1440,15 (9.7)
Display resolution,1280x720,9 (5.8)
Display resolution,1280x800,4 (2.6)
Display resolution,1280x1024,1 (0.7)
Webcam message,Success,154 (100.0)
Webcam brand,C922,55 (35.7)
Webcam brand,FaceTime,31 (20.1)
Webcam brand,HD,28 (18.2)
Webcam brand,EasyCamera,21 (13.6)
Webcam brand,TOSHIBA,9 (5.8)
Webcam brand,Integrated,8 (5.2)
Webcam brand,HP,2 (1.3)
Webcam resolution,0x0,7 (4.5)
Webcam resolution,1280x720,4 (2.6)
