id,Neutral,Sad,NeutralID,SadID,Type,NeutralDirectory,SadDirectory,Description,Duration
1,f0021.bmp,f0015.bmp,21,15,pofa,src/img/stim/f0021.bmp,src/img/stim/f0015.bmp,21-15,3000
2,f0047.bmp,f0043.bmp,47,43,pofa,src/img/stim/f0047.bmp,src/img/stim/f0043.bmp,47-43,3000
3,f0072.bmp,f0067.bmp,72,67,pofa,src/img/stim/f0072.bmp,src/img/stim/f0067.bmp,72-67,3000
4,f0110.bmp,f0102.bmp,110,102,pofa,src/img/stim/f0110.bmp,src/img/stim/f0102.bmp,110-102,3000
5,f0083.bmp,f0075.bmp,83,75,pofa,src/img/stim/f0083.bmp,src/img/stim/f0075.bmp,83-75,3000
6,f0099.bmp,f0094.bmp,99,94,pofa,src/img/stim/f0099.bmp,src/img/stim/f0094.bmp,99-94,3000
7,f0041.bmp,f0036.bmp,41,36,pofa,src/img/stim/f0041.bmp,src/img/stim/f0036.bmp,41-36,3000
8,f0092.bmp,f0087.bmp,92,87,pofa,src/img/stim/f0092.bmp,src/img/stim/f0087.bmp,92-87,3000
9,f0006.bmp,f0002.bmp,6,2,pofa,src/img/stim/f0006.bmp,src/img/stim/f0002.bmp,6-2,3000
10,f0013.bmp,f0008.bmp,13,8,pofa,src/img/stim/f0013.bmp,src/img/stim/f0008.bmp,13-8,3000
